kind,width,height,depth,seed,time
list,105,105,10,8062835143448982612,2.7863900661468506
array,105,105,10,8062835143448982612,5.690221786499023
lazy,105,105,10,8062835143448982612,0.0019240379333496094
list,105,105,10,2408130225617824075,2.5857431888580322
array,105,105,10,2408130225617824075,5.274247884750366
lazy,105,105,10,2408130225617824075,0.001692056655883789
list,105,105,10,5785034832289751076,3.299459934234619
array,105,105,10,5785034832289751076,6.721268892288208
lazy,105,105,10,5785034832289751076,0.0020618438720703125
list,105,105,10,5642576052520863625,5.844005107879639
array,105,105,10,5642576052520863625,11.940293312072754
lazy,105,105,10,5642576052520863625,0.004803180694580078
list,105,105,10,1723009292323251641,2.7981860637664795
array,105,105,10,1723009292323251641,5.711745023727417
lazy,105,105,10,1723009292323251641,0.0016639232635498047
list,105,105,10,6808218593903956257,5.152290105819702
array,105,105,10,6808218593903956257,10.436662197113037
lazy,105,105,10,6808218593903956257,0.003756999969482422
list,105,105,10,6759529700470799311,2.2765910625457764
array,105,105,10,6759529700470799311,4.643271207809448
lazy,105,105,10,6759529700470799311,0.0016491413116455078
list,105,105,10,4898004855351610578,3.17586612701416
array,105,105,10,4898004855351610578,6.480571746826172
lazy,105,105,10,4898004855351610578,0.002087116241455078
list,105,105,10,6782780175303583378,4.200729131698608
array,105,105,10,6782780175303583378,8.59023380279541
lazy,105,105,10,6782780175303583378,0.002641916275024414
list,105,105,10,5396154357928470559,4.149270057678223
array,105,105,10,5396154357928470559,8.49390721321106
lazy,105,105,10,5396154357928470559,0.0024788379669189453
list,105,105,10,1536363813157333146,2.6500699520111084
array,105,105,10,1536363813157333146,5.409665107727051
lazy,105,105,10,1536363813157333146,0.001600027084350586
list,105,105,10,1897378425860843589,6.039769887924194
array,105,105,10,1897378425860843589,12.358398199081421
lazy,105,105,10,1897378425860843589,0.004165172576904297
list,35,35,10,6757828938340735367,0.05792999267578125
array,35,35,10,6757828938340735367,0.11391901969909668
lazy,35,35,10,6757828938340735367,0.00024890899658203125
list,35,35,10,7564776570512634437,0.037783145904541016
array,35,35,10,7564776570512634437,0.0758671760559082
lazy,35,35,10,7564776570512634437,0.00016307830810546875
list,35,35,10,7404969417978723277,0.0492250919342041
array,35,35,10,7404969417978723277,0.10007500648498535
lazy,35,35,10,7404969417978723277,0.0002377033233642578
list,35,35,10,7887259101635520834,0.05715680122375488
array,35,35,10,7887259101635520834,0.10150289535522461
lazy,35,35,10,7887259101635520834,0.0002560615539550781
list,35,35,10,8594196884767128167,0.055564165115356445
array,35,35,10,8594196884767128167,0.11302590370178223
lazy,35,35,10,8594196884767128167,0.0006949901580810547
list,35,35,10,2492568693218986580,0.022324085235595703
array,35,35,10,2492568693218986580,0.048043012619018555
lazy,35,35,10,2492568693218986580,0.00013327598571777344
list,35,35,10,4023496949820156229,0.04188108444213867
array,35,35,10,4023496949820156229,0.08378076553344727
lazy,35,35,10,4023496949820156229,0.00017499923706054688
list,35,35,10,3440906641793638283,0.060114145278930664
array,35,35,10,3440906641793638283,0.12715816497802734
lazy,35,35,10,3440906641793638283,0.0002732276916503906
list,35,35,10,8062835143448982612,0.040194034576416016
array,35,35,10,8062835143448982612,0.0802760124206543
lazy,35,35,10,8062835143448982612,0.0001919269561767578
list,35,35,10,2408130225617824075,0.07931780815124512
array,35,35,10,2408130225617824075,0.1527419090270996
lazy,35,35,10,2408130225617824075,0.0004189014434814453
list,35,35,10,5785034832289751076,0.0635991096496582
array,35,35,10,5785034832289751076,0.13450217247009277
lazy,35,35,10,5785034832289751076,0.00029087066650390625
list,35,35,10,5642576052520863625,0.06405186653137207
array,35,35,10,5642576052520863625,0.13502073287963867
