kind,width,height,depth,num_filled,time
list,55,55,2,121,0.19451689720153809
list,55,55,2,97,0.15518593788146973
list,55,55,2,229,0.3631870746612549
list,55,55,2,143,0.22836923599243164
list,55,55,2,113,0.1822059154510498
list,55,55,2,100,0.15863609313964844
list,55,55,2,119,0.19450116157531738
list,55,55,2,119,0.18903589248657227
list,55,55,2,94,0.1509099006652832
list,55,55,2,166,0.2681770324707031
list,55,55,2,65,0.10576677322387695
list,55,55,2,132,0.21262788772583008
list,55,55,2,117,0.1911001205444336
list,55,55,2,154,0.24949026107788086
list,55,55,2,238,0.39118409156799316
list,55,55,2,84,0.13608980178833008
list,55,55,2,130,0.20405101776123047
list,55,55,2,68,0.12701916694641113
list,55,55,2,86,0.14017629623413086
list,55,55,2,79,0.12822580337524414
list,55,55,2,101,0.16521787643432617
list,55,55,2,147,0.23857879638671875
list,55,55,2,211,0.3332798480987549
list,55,55,2,149,0.2409529685974121
list,55,55,2,183,0.2847130298614502
list,55,55,2,215,0.34064698219299316
list,55,55,2,76,0.12412381172180176
list,55,55,2,211,0.3258528709411621
list,55,55,2,44,0.06873226165771484
list,55,55,2,95,0.15394926071166992
list,55,55,2,67,0.10960888862609863
list,55,55,2,112,0.17905211448669434
list,55,55,2,215,0.33994197845458984
list,55,55,2,132,0.2076249122619629
list,55,55,2,195,0.30487895011901855
list,55,55,2,158,0.25427818298339844
list,55,55,10,201,0.3241143226623535
list,55,55,10,89,0.1438908576965332
list,55,55,10,86,0.1383962631225586
list,55,55,10,159,0.2565462589263916
list,55,55,10,237,0.3904118537902832
list,55,55,10,303,0.4742319583892822
list,55,55,10,215,0.3348979949951172
list,55,55,10,229,0.3534982204437256
list,55,55,10,295,0.47075605392456055
list,55,55,10,176,0.2828507423400879
list,55,55,10,243,0.38451290130615234
list,55,55,10,454,0.7093219757080078
list,55,55,10,119,0.19256019592285156
list,55,55,10,151,0.23737502098083496
list,55,55,10,203,0.3313281536102295
list,55,55,10,233,0.39854001998901367
list,55,55,10,332,0.5583438873291016
list,55,55,10,229,0.37646007537841797
list,55,55,10,150,0.23952293395996094
list,55,55,10,138,0.22536182403564453
list,55,55,10,231,0.36807990074157715
list,55,55,10,160,0.25676703453063965
list,55,55,10,221,0.3536849021911621
list,55,55,10,219,0.3368411064147949
list,55,55,10,125,0.2022380828857422
