kind,width,height,depth,num_filled,time
lazy,75,75,100,287,0.0005948543548583984
lazy,75,75,100,375,0.0008339881896972656
lazy,75,75,100,498,0.0010590553283691406
lazy,75,75,100,575,0.001219034194946289
lazy,75,75,100,603,0.0013108253479003906
lazy,75,75,100,1170,0.0025420188903808594
lazy,75,75,100,586,0.0012559890747070312
lazy,75,75,100,394,0.000843048095703125
lazy,75,75,100,674,0.001438140869140625
lazy,75,75,100,805,0.0017578601837158203
lazy,75,75,100,588,0.0012600421905517578
lazy,75,75,100,906,0.0019378662109375
lazy,75,75,100,329,0.0006978511810302734
lazy,75,75,100,449,0.0009458065032958984
lazy,75,75,100,819,0.0017938613891601562
lazy,75,75,100,856,0.00185394287109375
lazy,75,75,100,451,0.0009660720825195312
lazy,75,75,100,481,0.0010292530059814453
lazy,75,75,100,195,0.0004229545593261719
lazy,75,75,100,548,0.0011718273162841797
lazy,75,75,100,265,0.000560760498046875
lazy,75,75,100,529,0.0011279582977294922
lazy,75,75,100,401,0.0008628368377685547
lazy,75,75,100,387,0.0008237361907958984
lazy,75,75,100,361,0.0007569789886474609
lazy,75,75,100,240,0.0005052089691162109
lazy,75,75,100,566,0.001210927963256836
lazy,75,75,100,207,0.00043272972106933594
lazy,75,75,100,669,0.0014240741729736328
lazy,75,75,100,473,0.0010139942169189453
lazy,75,75,100,431,0.000949859619140625
lazy,75,75,100,381,0.0008251667022705078
lazy,75,75,100,676,0.0014719963073730469
lazy,95,95,2,979,0.0061571598052978516
lazy,95,95,2,1858,0.03746199607849121
lazy,95,95,2,1060,0.009827136993408203
lazy,95,95,2,1076,0.008830070495605469
lazy,95,95,2,775,0.0066831111907958984
lazy,95,95,2,1228,0.013990163803100586
lazy,95,95,2,537,0.001422882080078125
lazy,95,95,2,1143,0.012382030487060547
lazy,95,95,2,759,0.0057680606842041016
lazy,95,95,2,873,0.007962942123413086
lazy,95,95,2,726,0.004271984100341797
lazy,95,95,2,1523,0.02469801902770996
lazy,95,95,2,1506,0.016767263412475586
lazy,95,95,2,2146,0.05400514602661133
lazy,95,95,2,1974,0.04063987731933594
lazy,95,95,2,1253,0.011442184448242188
lazy,95,95,2,859,0.007539033889770508
lazy,95,95,2,585,0.003776073455810547
lazy,95,95,2,1426,0.019062042236328125
lazy,95,95,2,1498,0.02061605453491211
lazy,95,95,2,580,0.0030257701873779297
lazy,95,95,2,899,0.012182950973510742
lazy,95,95,2,1750,0.03566598892211914
lazy,95,95,2,757,0.00618290901184082
lazy,95,95,2,1075,0.010682106018066406
lazy,95,95,2,493,0.002529144287109375
lazy,95,95,2,1300,0.018558979034423828
lazy,95,95,2,1065,0.007058143615722656
lazy,95,95,2,624,0.0036411285400390625
lazy,95,95,2,1030,0.007494926452636719
lazy,95,95,2,757,0.00503993034362793
lazy,95,95,2,2125,0.0487213134765625
lazy,95,95,2,624,0.004441976547241211
lazy,95,95,2,1537,0.021672964096069336
lazy,95,95,2,1632,0.03606915473937988
lazy,95,95,2,1747,0.026022911071777344
lazy,95,95,2,1122,0.010191202163696289
lazy,95,95,2,454,0.0016820430755615234
lazy,95,95,2,2146,0.056265830993652344
lazy,95,95,2,652,0.00267791748046875
lazy,95,95,2,731,0.002875089645385742
lazy,95,95,2,875,0.005211830139160156
lazy,95,95,2,1233,0.016872167587280273
lazy,95,95,2,605,0.001505136489868164
lazy,95,95,2,707,0.007575035095214844
lazy,95,95,2,566,0.0028858184814453125
lazy,95,95,2,630,0.002835988998413086
lazy,95,95,2,946,0.008923053741455078
lazy,95,95,2,1037,0.008152961730957031
lazy,95,95,2,1118,0.013833284378051758
lazy,95,95,10,221,0.0004229545593261719
lazy,95,95,10,1547,0.004297971725463867
lazy,95,95,10,1027,0.002393007278442383
lazy,95,95,10,696,0.0015039443969726562
lazy,95,95,10,644,0.0014622211456298828
lazy,95,95,10,769,0.0015490055084228516
lazy,95,95,10,936,0.0020389556884765625
lazy,95,95,10,651,0.0013659000396728516
lazy,95,95,10,564,0.0011758804321289062
lazy,95,95,10,1487,0.0033969879150390625
lazy,95,95,10,665,0.0014548301696777344
lazy,95,95,10,1843,0.004129886627197266
lazy,95,95,10,852,0.0018241405487060547
lazy,95,95,10,1318,0.00273895263671875
lazy,95,95,10,529,0.0011229515075683594
lazy,95,95,10,1764,0.004441022872924805
lazy,95,95,10,309,0.0006167888641357422
lazy,95,95,10,938,0.0021202564239501953
lazy,95,95,10,772,0.0016751289367675781
lazy,95,95,10,553,0.0011289119720458984
lazy,95,95,10,1538,0.003451108932495117
lazy,95,95,10,628,0.0012958049774169922
lazy,95,95,10,1307,0.002955913543701172
lazy,95,95,10,740,0.001567840576171875
lazy,95,95,10,728,0.0015671253204345703
lazy,95,95,10,1165,0.0027828216552734375
lazy,95,95,10,746,0.0016303062438964844
lazy,95,95,10,944,0.0023012161254882812
lazy,95,95,10,1237,0.0025551319122314453
lazy,95,95,10,1068,0.002274036407470703
lazy,95,95,10,1559,0.0036139488220214844
lazy,95,95,10,755,0.0018038749694824219
lazy,95,95,10,321,0.0006229877471923828
lazy,95,95,10,439,0.0008590221405029297
lazy,95,95,10,608,0.001316070556640625
lazy,95,95,10,619,0.0013358592987060547
lazy,95,95,10,683,0.001461029052734375
lazy,95,95,10,1165,0.002645730972290039
lazy,95,95,10,979,0.0024559497833251953
lazy,95,95,10,813,0.0018398761749267578
lazy,95,95,10,869,0.0018553733825683594
